,Title,Released,ratings,awards,rated,runtime,genere,metascore,imdbRating,imdbVotes,imdbID,nominations
44,Final Destination,"Mar 17, 2000","[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '34%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",3 wins & 3 nominations.,R,98 min,"Horror, Thriller",36,6.7,"218,133",tt0195714,3
45,Finding Forrester,"Dec 19, 2000","[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",5 wins & 13 nominations.,PG-13,136 min,Drama,62,7.3,"80,037",tt0181536,13
46,The Road to El Dorado,"Mar 31, 2000","[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",1 win & 12 nominations.,PG,89 min,"Animation, Adventure, Comedy, Family, Romance",51,6.9,"78,427",tt0138749,12
47,Men of Honor,"Nov 10, 2000","[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",11 nominations.,R,129 min,"Biography, Drama",56,7.2,"103,306",tt0203019,11
48,The Tigger Movie,"Feb 11, 2000","[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",4 nominations.,G,77 min,"Animation, Comedy, Drama, Family, Musical",53,6.3,"16,275",tt0220099,4
49,"O Brother, Where Art Thou?","Dec 22, 2000","[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",Nominated for 2 Oscars. Another 7 wins & 36 nominations.,PG-13,107 min,"Adventure, Comedy, Crime, Music",69,7.7,"271,610",tt0190590,36
50,Frequency,"Apr 28, 2000","[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",Nominated for 1 Golden Globe. Another 2 wins & 7 nominations.,PG-13,118 min,"Crime, Drama, Mystery, Sci-Fi, Thriller",67,7.3,"96,863",tt0186151,7
51,The Replacements,"Aug 11, 2000","[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",N/A,PG-13,118 min,"Comedy, Sport",30,6.6,"55,975",tt0191397,
52,Pokemon 2000,"Jul 21, 2000","[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,N/A,30 min,N/A,N/A,8.1,43,tt0382918,
53,The Beach,"Feb 11, 2000","[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",7 nominations.,R,119 min,"Adventure, Drama, Romance, Thriller",43,6.7,"214,377",tt0163978,7
54,Little Nicky,"Nov 10, 2000","[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '22%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",1 win & 12 nominations.,PG-13,90 min,"Comedy, Fantasy",38,5.3,"93,910",tt0185431,12
55,Pitch Black,"Feb 18, 2000","[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",2 wins & 4 nominations.,R,109 min,"Horror, Sci-Fi",49,7.1,"218,325",tt0134847,4
56,Bedazzled,"Oct 20, 2000","[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '49%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",1 win & 3 nominations.,PG-13,93 min,"Comedy, Fantasy",49,6.0,"92,715",tt0230030,3
57,Autumn in New York,"Aug 11, 2000","[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '19%'}, {'Source': 'Metacritic', 'Value': '24/100'}]",3 nominations.,PG-13,103 min,"Drama, Romance",24,5.7,"23,956",tt0174480,3
58,Keeping the Faith,"Apr 14, 2000","[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",2 wins & 6 nominations.,PG-13,128 min,"Comedy, Drama, Romance",60,6.3,"48,548",tt0171433,6
