Unnamed: 0,Released,Title,Source,Production Budget,Opening Weekend Revenue,Domestic Box Office,Infl. Adj. Dom. Box Office,International Box Office,Worldwide Box Office,ratings,awards,rated,runtime,genere,metascore,imdbRating,imdbVotes,imdbID,nominations,trailer ids,max viewcount,Infl. Adj. Production Budget,Infl. Adj. International Box Office,Infl. Adj. Worldwide Box Office,Infl. Adj. Opening Weekend Revenue,Genre
21,"Jun 9, 2000",Gone in 60 Seconds,Remake,103300000,25336048,101643008,171793647,131000000,232643008,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",9 wins & 6 nominations.,PG-13,118 min,"Action, Crime, Thriller",35.0,6.5,"251,813",tt0187078,6.0,['1HiKyQMyq_Q'],22822.0,174594240,221411862,393205509,42822149,Action
22,"Nov 22, 2000",Unbreakable,Original Screenplay,73243106,30330771,94999143,160164067,153100000,248099143,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",2 wins & 13 nominations.,PG-13,106 min,"Drama, Mystery, Sci-Fi, Thriller",62.0,7.3,"370,337",tt0217869,13.0,"['UM-Xo8aSbcI', 'h5eCFjjQFxY']",1630633.0,123484416,258119367,418283434,51136246,Science Fiction
23,"Jun 23, 2000","Me, Myself & Irene",Original Screenplay,51000000,24209385,90570999,153080104,58700000,149270999,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",2 wins & 4 nominations.,R,116 min,Comedy,49.0,6.6,"214,669",tt0183505,4.0,['ssx_riw1Y9Y'],944378.0,86198511,99212796,252292900,40917901,Comedy
24,"Aug 4, 2000",Space Cowboys,Original Screenplay,65000000,18093776,90454043,152860316,38420000,128874043,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",Nominated for 1 Oscar. Another 4 wins & 8 nominations.,PG-13,130 min,"Action, Adventure, Thriller",73.0,6.4,"70,652",tt0186566,8.0,['7PAZBAV43Zw'],296394.0,109844957,64926819,217787135,30577077,Action
25,"Dec 15, 2000",The Emperor's New Groove,Original Screenplay,100000000,9812302,89296573,147823260,80000000,169296573,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",Nominated for 1 Oscar. Another 7 wins & 26 nominations.,G,78 min,"Animation, Adventure, Comedy, Family, Fantasy",70.0,7.3,"167,931",tt0120917,26.0,"['Hjvy8vc39kw', 'zefYX6e1g3Y']",2376205.0,165541918,132433534,280256794,16243472,Adventure
26,"Feb 4, 2000",Scream 3,Original Screenplay,40000000,34713342,89138076,150658228,72700000,161838076,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",5 wins & 5 nominations.,R,116 min,"Horror, Mystery",56.0,5.5,"117,923",tt0134084,5.0,['bYi-rmHfrP8'],665518.0,67606677,122875135,273533363,58671342,Horror
27,"Apr 21, 2000",U-571,Original Screenplay,62000000,19553310,77086030,130288259,50544000,127630030,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",Won 1 Oscar. Another 3 wins & 10 nominations.,PG-13,116 min,"Action, War",62.0,6.6,"74,029",tt0141926,10.0,"['2imOf6-H3tI', 'oHvDBE5O09o']",867362.0,104790349,85427797,215716056,33048358,Action
28,"Nov 17, 2000",Rugrats in Paris,Based on TV,30000000,22718184,76501438,128873212,26783375,103284813,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",3 wins & 7 nominations.,G,78 min,"Animation, Adventure, Comedy, Family, Romance",62.0,6.1,"10,548",tt0213203,7.0,['F8riqB7r5EQ'],821545.0,50537564,45118884,173992096,38270723,
29,"Dec 22, 2000",The Family Man,Original Screenplay,60000000,15104055,75764085,125423938,48951778,124715863,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",4 wins & 6 nominations.,PG-13,125 min,"Comedy, Drama, Fantasy, Romance",42.0,6.8,"99,571",tt0218967,6.0,['vy5pt3FT5Tk'],10126.0,99327224,81037404,206461342,25004064,Comedy
30,"Aug 4, 2000",Hollow Man,Original Screenplay,90000000,26414386,73209340,123736001,117990660,191200000,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '28%'}, {'Source': 'Metacritic', 'Value': '24/100'}]",Nominated for 1 Oscar. Another 7 wins & 11 nominations.,R,112 min,"Action, Horror, Sci-Fi, Thriller",24.0,5.8,"117,501",tt0164052,11.0,['XufZT_CRW88'],255729.0,152115018,199423904,323159905,44644720,Action
31,"Dec 15, 2000",Chocolat,Based on Fiction Book/Short Story,25000000,157624,71309760,115118524,81190583,152500343,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",Nominated for 5 Oscars. Another 7 wins & 31 nominations.,PG-13,121 min,"Drama, Romance",64.0,7.2,"171,108",tt0241303,31.0,['692hOJq1KJE'],450786.0,40358614,131069576,246188100,254459,Comedy
32,"Jun 16, 2000",Shaft,Remake,53012938,21714757,70327868,118865832,36862240,107190108,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",1 win & 13 nominations.,R,99 min,"Action, Crime, Thriller",50.0,5.9,"71,011",tt0162650,13.0,['lD41XdWcmbY'],14742786.0,89600711,62303336,181169168,36701562,Adventure
