,title,ratings,awards,rated,runtime,genere,metascore,imdbRating,imdbVotes,imdbID,nominations
254,Clockstoppers,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",,PG,94 min,"Action, Adventure, Comedy, Sci-Fi, Thriller",40.0,5.2,"12,901",tt0157472,
255,The Mothman Prophecies,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",1 win & 2 nominations.,PG-13,119 min,"Drama, Horror, Mystery, Thriller",52.0,6.4,"72,785",tt0265349,2
256,K-19: The Widowmaker,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",1 win & 2 nominations.,PG-13,138 min,"Drama, History, Thriller, War",58.0,6.7,"56,938",tt0267626,2
257,I Spy,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",2 wins & 6 nominations.,PG-13,97 min,"Action, Adventure, Comedy, Thriller",35.0,5.4,"47,339",tt0297181,6
258,The Pianist,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '85/100'}]",Won 3 Oscars. Another 54 wins & 73 nominations.,R,150 min,"Biography, Drama, Music, War",85.0,8.5,"673,896",tt0253474,73
259,Analyze That,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",1 win.,R,96 min,"Comedy, Crime",37.0,5.9,"79,635",tt0289848,
260,Murder by Numbers,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Metacritic', 'Value': '50/100'}]",2 nominations.,R,115 min,"Crime, Mystery, Thriller",50.0,6.2,"50,933",tt0264935,2
261,Queen of the Damned,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",7 nominations.,R,101 min,"Drama, Fantasy, Horror",30.0,5.3,"50,710",tt0238546,7
262,Halloween: Resurrection,"[{'Source': 'Internet Movie Database', 'Value': '4.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '11%'}, {'Source': 'Metacritic', 'Value': '19/100'}]",1 win & 1 nomination.,R,94 min,"Horror, Thriller",19.0,4.0,"35,504",tt0220506,
263,Bad Company,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '10%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",,PG-13,116 min,"Action, Adventure, Comedy, Thriller",37.0,5.6,"43,701",tt0280486,
264,Ghost Ship,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '16%'}, {'Source': 'Metacritic', 'Value': '28/100'}]",1 nomination.,R,91 min,Horror,28.0,5.5,"89,851",tt0288477,
265,Dragonfly,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '7%'}, {'Source': 'Metacritic', 'Value': '25/100'}]",1 nomination.,PG-13,104 min,"Drama, Fantasy, Mystery, Romance, Thriller",25.0,6.1,"35,546",tt0259288,
266,Blood Work,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",2 wins.,R,110 min,"Action, Crime, Drama, Mystery, Thriller",64.0,6.4,"40,346",tt0309377,
267,The Transporter,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",,PG-13,92 min,"Action, Crime, Thriller",51.0,6.8,"275,108",tt0293662,
268,The Sweetest Thing,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '32/100'}]",1 win & 4 nominations.,R,84 min,"Comedy, Romance",32.0,5.2,"53,008",tt0253867,4
269,Adaptation,[],,,,Comedy,,,,tt9117156,
270,City by the Sea,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",1 nomination.,R,108 min,"Crime, Drama, Mystery, Thriller",50.0,6.1,"23,590",tt0269095,
271,Tuck Everlasting,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",1 win & 3 nominations.,PG,90 min,"Drama, Family, Fantasy, Romance",66.0,6.6,"20,370",tt0283084,3
272,Hart's War,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",1 win & 1 nomination.,R,125 min,"Drama, War",49.0,6.3,"49,353",tt0251114,
273,Rollerball,"[{'Source': 'Internet Movie Database', 'Value': '3.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '14/100'}]",5 wins & 3 nominations.,PG-13,98 min,"Action, Sci-Fi, Sport",14.0,3.1,"24,905",tt0246894,3
274,The Four Feathers,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",,PG-13,132 min,"Action, Adventure, Drama, Romance, War",49.0,6.5,"31,598",tt0240510,
275,Punch-Drunk Love,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",Nominated for 1 Golden Globe. Another 14 wins & 36 nominations.,R,95 min,"Comedy, Drama, Romance, Thriller",78.0,7.3,"137,629",tt0272338,36
276,Eight Legged Freaks,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",1 nomination.,PG-13,99 min,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",53.0,5.4,"51,006",tt0271367,
277,The Country Bears,"[{'Source': 'Internet Movie Database', 'Value': '4.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",4 nominations.,G,88 min,"Comedy, Family, Music, Musical",37.0,4.1,"4,769",tt0276033,4
278,Serving Sara,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '4%'}, {'Source': 'Metacritic', 'Value': '18/100'}]",,PG-13,99 min,"Comedy, Romance",18.0,5.3,"16,237",tt0261289,
