,title,ratings,awards,rated,runtime,genere,metascore,imdbRating,imdbVotes,imdbID,nominations
313,Journey 2: The Mysterious Island,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",7 wins & 4 nominations.,PG,94 min,"Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",41.0,5.8,"86,899",tt1397514,4
314,Rise of the Guardians,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",Nominated for 1 Golden Globe. Another 14 wins & 31 nominations.,PG,97 min,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",58.0,7.3,"150,195",tt1446192,31
315,Zero Dark Thirty,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '95/100'}]",Won 1 Oscar. Another 86 wins & 173 nominations.,R,157 min,"Drama, Thriller",95.0,7.4,"259,076",tt1790885,173
316,Flight,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",Nominated for 2 Oscars. Another 15 wins & 43 nominations.,R,138 min,"Drama, Thriller",76.0,7.3,"309,917",tt1907668,43
317,The Campaign,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",2 wins & 4 nominations.,R,85 min,Comedy,50.0,6.1,"120,977",tt1790886,4
318,The Expendables 2,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",4 wins & 5 nominations.,R,103 min,"Action, Adventure, Thriller",51.0,6.6,"283,599",tt1764651,5
319,Wrath of the Titans,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",2 wins & 2 nominations.,PG-13,99 min,"Action, Adventure, Fantasy",37.0,5.7,"175,899",tt1646987,2
320,Jack Reacher,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",1 win & 5 nominations.,PG-13,130 min,"Action, Crime, Thriller",50.0,7.0,"292,877",tt0790724,5
321,Dark Shadows,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",2 wins & 13 nominations.,PG-13,113 min,"Comedy, Fantasy, Horror",55.0,6.2,"236,993",tt1077368,13
322,Parental Guidance,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",1 win & 4 nominations.,PG,105 min,"Comedy, Family",36.0,6.0,"24,134",tt1047540,4
323,John Carter,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",2 wins & 8 nominations.,PG-13,132 min,"Action, Adventure, Sci-Fi",51.0,6.6,"247,277",tt0401729,8
324,This is 40,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",2 wins & 11 nominations.,R,134 min,"Comedy, Romance",59.0,6.2,"121,642",tt1758830,11
325,Contraband,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",1 win.,R,109 min,"Action, Crime, Drama, Thriller",51.0,6.5,"113,087",tt1524137,
326,Looper,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",18 wins & 46 nominations.,R,113 min,"Action, Crime, Drama, Sci-Fi, Thriller",84.0,7.4,"512,224",tt1276104,46
327,Battleship,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '34%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",4 wins & 16 nominations.,PG-13,131 min,"Action, Adventure, Sci-Fi, Thriller",41.0,5.8,"228,999",tt1440129,16
328,Pitch Perfect,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",7 wins & 20 nominations.,PG-13,112 min,"Comedy, Music, Romance",66.0,7.2,"263,773",tt1981677,20
329,Mirror Mirror,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",Nominated for 1 Oscar. Another 2 wins & 8 nominations.,PG,106 min,"Adventure, Comedy, Drama, Family, Fantasy",46.0,5.6,"80,982",tt1667353,8
330,Hope Springs,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",Nominated for 1 Golden Globe. Another 2 wins & 4 nominations.,PG-13,100 min,"Comedy, Drama, Romance",65.0,6.3,"39,324",tt1535438,4
331,Underworld: Awakening,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",1 win.,R,88 min,"Action, Drama, Fantasy, Horror, Sci-Fi",39.0,6.4,"141,031",tt1496025,
332,The Lucky One,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",5 wins & 7 nominations.,PG-13,101 min,"Drama, Mystery, Romance, War",39.0,6.5,"97,161",tt1327194,7
333,The Dictator,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",1 win & 1 nomination.,R,83 min,Comedy,58.0,6.4,"258,659",tt1645170,
334,Total Recall,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",Nominated for 2 Oscars. Another 8 wins & 14 nominations.,R,113 min,"Action, Sci-Fi, Thriller",57.0,7.5,"285,840",tt0100802,14
335,American Reunion,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",1 win & 4 nominations.,R,113 min,Comedy,49.0,6.7,"195,663",tt1605630,4
336,ParaNorman,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",Nominated for 1 Oscar. Another 19 wins & 45 nominations.,PG,92 min,"Animation, Adventure, Comedy, Family, Fantasy, Mystery",72.0,7.0,"89,861",tt1623288,45
